example_idx,stage,node_id,parent_node_id,branch_idx,sample_idx,reward
23125,1,d1_n0,root,0,0,1
23125,1,d1_n0,root,0,1,1
23125,1,d1_n0,root,0,2,1
23125,1,d1_n0,root,0,3,1
23125,1,d1_n0,root,0,4,1
23125,1,d1_n0,root,0,5,1
23125,1,d1_n0,root,0,6,1
23125,1,d1_n0,root,0,7,1
23125,1,d1_n0,root,0,8,1
23125,1,d1_n0,root,0,9,1
23125,1,d1_n0,root,0,10,1
23125,1,d1_n0,root,0,11,1
23125,1,d1_n0,root,0,12,1
23125,1,d1_n0,root,0,13,1
23125,1,d1_n0,root,0,14,1
23125,1,d1_n0,root,0,15,1
23125,1,d1_n0,root,0,16,1
23125,1,d1_n0,root,0,17,1
23125,1,d1_n0,root,0,18,1
23125,1,d1_n0,root,0,19,1
23125,1,d1_n0,root,0,20,1
23125,1,d1_n0,root,0,21,1
23125,1,d1_n0,root,0,22,1
23125,1,d1_n0,root,0,23,1
23125,1,d1_n0,root,0,24,1
23125,1,d1_n0,root,0,25,1
23125,1,d1_n0,root,0,26,1
23125,1,d1_n0,root,0,27,1
23125,1,d1_n0,root,0,28,1
23125,1,d1_n0,root,0,29,1
23125,1,d1_n0,root,0,30,1
23125,1,d1_n0,root,0,31,1
23125,1,d1_n1,root,1,0,1
23125,1,d1_n1,root,1,1,1
23125,1,d1_n1,root,1,2,1
23125,1,d1_n1,root,1,3,1
23125,1,d1_n1,root,1,4,1
23125,1,d1_n1,root,1,5,1
23125,1,d1_n1,root,1,6,1
23125,1,d1_n1,root,1,7,1
23125,1,d1_n1,root,1,8,1
23125,1,d1_n1,root,1,9,1
23125,1,d1_n1,root,1,10,1
23125,1,d1_n1,root,1,11,1
23125,1,d1_n1,root,1,12,1
23125,1,d1_n1,root,1,13,1
23125,1,d1_n1,root,1,14,1
23125,1,d1_n1,root,1,15,1
23125,1,d1_n1,root,1,16,1
23125,1,d1_n1,root,1,17,1
23125,1,d1_n1,root,1,18,1
23125,1,d1_n1,root,1,19,1
23125,1,d1_n1,root,1,20,1
23125,1,d1_n1,root,1,21,1
23125,1,d1_n1,root,1,22,1
23125,1,d1_n1,root,1,23,1
23125,1,d1_n1,root,1,24,1
23125,1,d1_n1,root,1,25,1
23125,1,d1_n1,root,1,26,1
23125,1,d1_n1,root,1,27,1
23125,1,d1_n1,root,1,28,1
23125,1,d1_n1,root,1,29,1
23125,1,d1_n1,root,1,30,1
23125,1,d1_n1,root,1,31,1
23125,2,d2_n2,d1_n0,0,0,1
23125,2,d2_n2,d1_n0,0,1,1
23125,2,d2_n2,d1_n0,0,2,1
23125,2,d2_n2,d1_n0,0,3,1
23125,2,d2_n2,d1_n0,0,4,1
23125,2,d2_n2,d1_n0,0,5,1
23125,2,d2_n2,d1_n0,0,6,1
23125,2,d2_n2,d1_n0,0,7,1
23125,2,d2_n2,d1_n0,0,8,1
23125,2,d2_n2,d1_n0,0,9,1
23125,2,d2_n2,d1_n0,0,10,1
23125,2,d2_n2,d1_n0,0,11,1
23125,2,d2_n2,d1_n0,0,12,1
23125,2,d2_n2,d1_n0,0,13,1
23125,2,d2_n2,d1_n0,0,14,1
23125,2,d2_n2,d1_n0,0,15,1
23125,2,d2_n2,d1_n0,0,16,1
23125,2,d2_n2,d1_n0,0,17,1
23125,2,d2_n2,d1_n0,0,18,1
23125,2,d2_n2,d1_n0,0,19,1
23125,2,d2_n2,d1_n0,0,20,1
23125,2,d2_n2,d1_n0,0,21,1
23125,2,d2_n2,d1_n0,0,22,1
23125,2,d2_n2,d1_n0,0,23,1
23125,2,d2_n2,d1_n0,0,24,1
23125,2,d2_n2,d1_n0,0,25,1
23125,2,d2_n2,d1_n0,0,26,1
23125,2,d2_n2,d1_n0,0,27,1
23125,2,d2_n2,d1_n0,0,28,1
23125,2,d2_n2,d1_n0,0,29,1
23125,2,d2_n2,d1_n0,0,30,1
23125,2,d2_n2,d1_n0,0,31,1
23125,2,d2_n3,d1_n0,1,0,1
23125,2,d2_n3,d1_n0,1,1,1
23125,2,d2_n3,d1_n0,1,2,1
23125,2,d2_n3,d1_n0,1,3,1
23125,2,d2_n3,d1_n0,1,4,1
23125,2,d2_n3,d1_n0,1,5,1
23125,2,d2_n3,d1_n0,1,6,1
23125,2,d2_n3,d1_n0,1,7,1
23125,2,d2_n3,d1_n0,1,8,1
23125,2,d2_n3,d1_n0,1,9,1
23125,2,d2_n3,d1_n0,1,10,1
23125,2,d2_n3,d1_n0,1,11,1
23125,2,d2_n3,d1_n0,1,12,1
23125,2,d2_n3,d1_n0,1,13,1
23125,2,d2_n3,d1_n0,1,14,1
23125,2,d2_n3,d1_n0,1,15,1
23125,2,d2_n3,d1_n0,1,16,1
23125,2,d2_n3,d1_n0,1,17,1
23125,2,d2_n3,d1_n0,1,18,1
23125,2,d2_n3,d1_n0,1,19,1
23125,2,d2_n3,d1_n0,1,20,1
23125,2,d2_n3,d1_n0,1,21,1
23125,2,d2_n3,d1_n0,1,22,1
23125,2,d2_n3,d1_n0,1,23,1
23125,2,d2_n3,d1_n0,1,24,1
23125,2,d2_n3,d1_n0,1,25,1
23125,2,d2_n3,d1_n0,1,26,1
23125,2,d2_n3,d1_n0,1,27,1
23125,2,d2_n3,d1_n0,1,28,1
23125,2,d2_n3,d1_n0,1,29,1
23125,2,d2_n3,d1_n0,1,30,1
23125,2,d2_n3,d1_n0,1,31,1
23125,2,d2_n4,d1_n1,0,0,1
23125,2,d2_n4,d1_n1,0,1,1
23125,2,d2_n4,d1_n1,0,2,1
23125,2,d2_n4,d1_n1,0,3,1
23125,2,d2_n4,d1_n1,0,4,1
23125,2,d2_n4,d1_n1,0,5,1
23125,2,d2_n4,d1_n1,0,6,1
23125,2,d2_n4,d1_n1,0,7,1
23125,2,d2_n4,d1_n1,0,8,1
23125,2,d2_n4,d1_n1,0,9,1
23125,2,d2_n4,d1_n1,0,10,1
23125,2,d2_n4,d1_n1,0,11,1
23125,2,d2_n4,d1_n1,0,12,1
23125,2,d2_n4,d1_n1,0,13,1
23125,2,d2_n4,d1_n1,0,14,1
23125,2,d2_n4,d1_n1,0,15,1
23125,2,d2_n4,d1_n1,0,16,1
23125,2,d2_n4,d1_n1,0,17,1
23125,2,d2_n4,d1_n1,0,18,1
23125,2,d2_n4,d1_n1,0,19,1
23125,2,d2_n4,d1_n1,0,20,1
23125,2,d2_n4,d1_n1,0,21,1
23125,2,d2_n4,d1_n1,0,22,1
23125,2,d2_n4,d1_n1,0,23,1
23125,2,d2_n4,d1_n1,0,24,1
23125,2,d2_n4,d1_n1,0,25,1
23125,2,d2_n4,d1_n1,0,26,1
23125,2,d2_n4,d1_n1,0,27,1
23125,2,d2_n4,d1_n1,0,28,1
23125,2,d2_n4,d1_n1,0,29,1
23125,2,d2_n4,d1_n1,0,30,1
23125,2,d2_n4,d1_n1,0,31,1
23125,2,d2_n5,d1_n1,1,0,1
23125,2,d2_n5,d1_n1,1,1,1
23125,2,d2_n5,d1_n1,1,2,1
23125,2,d2_n5,d1_n1,1,3,1
23125,2,d2_n5,d1_n1,1,4,1
23125,2,d2_n5,d1_n1,1,5,1
23125,2,d2_n5,d1_n1,1,6,1
23125,2,d2_n5,d1_n1,1,7,1
23125,2,d2_n5,d1_n1,1,8,1
23125,2,d2_n5,d1_n1,1,9,1
23125,2,d2_n5,d1_n1,1,10,1
23125,2,d2_n5,d1_n1,1,11,1
23125,2,d2_n5,d1_n1,1,12,1
23125,2,d2_n5,d1_n1,1,13,1
23125,2,d2_n5,d1_n1,1,14,1
23125,2,d2_n5,d1_n1,1,15,1
23125,2,d2_n5,d1_n1,1,16,1
23125,2,d2_n5,d1_n1,1,17,1
23125,2,d2_n5,d1_n1,1,18,1
23125,2,d2_n5,d1_n1,1,19,1
23125,2,d2_n5,d1_n1,1,20,1
23125,2,d2_n5,d1_n1,1,21,1
23125,2,d2_n5,d1_n1,1,22,1
23125,2,d2_n5,d1_n1,1,23,1
23125,2,d2_n5,d1_n1,1,24,1
23125,2,d2_n5,d1_n1,1,25,1
23125,2,d2_n5,d1_n1,1,26,1
23125,2,d2_n5,d1_n1,1,27,1
23125,2,d2_n5,d1_n1,1,28,1
23125,2,d2_n5,d1_n1,1,29,1
23125,2,d2_n5,d1_n1,1,30,1
23125,2,d2_n5,d1_n1,1,31,1
23125,3,d3_n6,d2_n2,0,0,1
23125,3,d3_n6,d2_n2,0,1,1
23125,3,d3_n6,d2_n2,0,2,1
23125,3,d3_n6,d2_n2,0,3,1
23125,3,d3_n6,d2_n2,0,4,1
23125,3,d3_n6,d2_n2,0,5,1
23125,3,d3_n6,d2_n2,0,6,1
23125,3,d3_n6,d2_n2,0,7,1
23125,3,d3_n6,d2_n2,0,8,1
23125,3,d3_n6,d2_n2,0,9,1
23125,3,d3_n6,d2_n2,0,10,1
23125,3,d3_n6,d2_n2,0,11,1
23125,3,d3_n6,d2_n2,0,12,1
23125,3,d3_n6,d2_n2,0,13,1
23125,3,d3_n6,d2_n2,0,14,1
23125,3,d3_n6,d2_n2,0,15,1
23125,3,d3_n6,d2_n2,0,16,1
23125,3,d3_n6,d2_n2,0,17,1
23125,3,d3_n6,d2_n2,0,18,1
23125,3,d3_n6,d2_n2,0,19,1
23125,3,d3_n6,d2_n2,0,20,1
23125,3,d3_n6,d2_n2,0,21,1
23125,3,d3_n6,d2_n2,0,22,1
23125,3,d3_n6,d2_n2,0,23,1
23125,3,d3_n6,d2_n2,0,24,1
23125,3,d3_n6,d2_n2,0,25,1
23125,3,d3_n6,d2_n2,0,26,1
23125,3,d3_n6,d2_n2,0,27,1
23125,3,d3_n6,d2_n2,0,28,1
23125,3,d3_n6,d2_n2,0,29,1
23125,3,d3_n6,d2_n2,0,30,1
23125,3,d3_n6,d2_n2,0,31,1
23125,3,d3_n7,d2_n2,1,0,1
23125,3,d3_n7,d2_n2,1,1,1
23125,3,d3_n7,d2_n2,1,2,1
23125,3,d3_n7,d2_n2,1,3,1
23125,3,d3_n7,d2_n2,1,4,1
23125,3,d3_n7,d2_n2,1,5,1
23125,3,d3_n7,d2_n2,1,6,1
23125,3,d3_n7,d2_n2,1,7,1
23125,3,d3_n7,d2_n2,1,8,1
23125,3,d3_n7,d2_n2,1,9,1
23125,3,d3_n7,d2_n2,1,10,1
23125,3,d3_n7,d2_n2,1,11,1
23125,3,d3_n7,d2_n2,1,12,1
23125,3,d3_n7,d2_n2,1,13,1
23125,3,d3_n7,d2_n2,1,14,1
23125,3,d3_n7,d2_n2,1,15,1
23125,3,d3_n7,d2_n2,1,16,1
23125,3,d3_n7,d2_n2,1,17,1
23125,3,d3_n7,d2_n2,1,18,1
23125,3,d3_n7,d2_n2,1,19,1
23125,3,d3_n7,d2_n2,1,20,1
23125,3,d3_n7,d2_n2,1,21,1
23125,3,d3_n7,d2_n2,1,22,1
23125,3,d3_n7,d2_n2,1,23,1
23125,3,d3_n7,d2_n2,1,24,1
23125,3,d3_n7,d2_n2,1,25,1
23125,3,d3_n7,d2_n2,1,26,1
23125,3,d3_n7,d2_n2,1,27,1
23125,3,d3_n7,d2_n2,1,28,1
23125,3,d3_n7,d2_n2,1,29,1
23125,3,d3_n7,d2_n2,1,30,1
23125,3,d3_n7,d2_n2,1,31,1
23125,3,d3_n8,d2_n3,0,0,1
23125,3,d3_n8,d2_n3,0,1,1
23125,3,d3_n8,d2_n3,0,2,1
23125,3,d3_n8,d2_n3,0,3,1
23125,3,d3_n8,d2_n3,0,4,1
23125,3,d3_n8,d2_n3,0,5,1
23125,3,d3_n8,d2_n3,0,6,1
23125,3,d3_n8,d2_n3,0,7,1
